taxa;cat
Menispermaceae;shrub
Metasequoia;tree
Metopium;tree
Microtropis;shrub
Millettia;shrub
Monimiaceae;shrub
Montiaceae;herb
Moraceae;herb
Morinda;tree
Moringa;shrub
Morus;tree
Myoporum;shrub
Myrica;tree
Myricaceae;tree
Myrsinaceae;shrub
Myrsine;shrub
Myrtaceae;shrub
Myrtus;shrub
Nartheciaceae;herb
Nerium;shrub
Nestegis;tree
Nitrariaceae;shrub
Nothocestrum;shrub
Nothofagus;tree
Nyctaginaceae;herb
Nyssa;tree
Nyssaceae;tree
Olacaceae;shrub
Olea;tree
Oleaceae;tree
Onagraceae;herb
Orchidaceae;herb
Oreopanax;shrub
Orobanchaceae;herb
Osmanthus;shrub
Ostrya.Carpinus;tree
Ostryopsis;shrub
Oxalidaceae;herb
Paeoniaceae;herb
Palicourea;shrub
Paliurus;shrub
Pandanaceae;tree
Pandanus;tree
Papaveraceae;herb
Parkinsonia;shrub
Parrotia;tree
Passiflora;herb
Passifloraceae;herb
Paullinia;shrub
Pedaliaceae;herb
Peltogyne;tree
Pentaphylacaceae;shrub
Penthoraceae;herb
Petiveriaceae;shrub
Phellodendron;tree
Phillyrea;shrub
Phoenix;tree
Phrymaceae;herb
Phyllanthaceae;herb
Phyllostylon;tree
Phytolaccaceae;herb
Picea;tree
Pinaceae;tree
Pinus;tree
Piper;shrub
Piperaceae;shrub
Piscidia;herb
Pistacia;shrub
Pittosporaceae;shrub
Planera;tree
Plantaginaceae;herb
Platanaceae;tree
Platanus;tree
Platycarya;tree
Platycladus;tree
Plumbaginaceae;herb
Poaceae;grass
Podocarpaceae;tree
Podocarpus;shrub
Polemoniaceae;herb
Polygalaceae;herb
Polygonaceae;herb
Polyscias;tree
Populus;tree
Portulacaceae;herb
Posoqueria;tree
Pourouma;tree
Pouteria;tree
Premna;shrub
Primulaceae;herb
Pritchardia;tree
Prosopis;tree
Proteaceae;shrub
Protium;tree
Prunus;tree
Pseudolarix;tree
Pseudotsuga;tree
Psychotria;shrub
Ptelea;tree
Pterocarpus;tree
Pterocarya;tree
Pteroceltis;tree
Pterolobium;shrub
Punica;shrub
Pygeum;tree
Pyrus;tree
Quercus;tree
Randia;tree
Ranunculaceae;herb
Rapanea;tree
Ravenea;tree
Reevesia;tree
Resedaceae;herb
Rhamnaceae;shrub
Rhamnus;shrub
Rhizophora;tree
Rhododendron;shrub
Rhus;shrub
Robinia;tree
Rosaceae;herb
Rubiaceae;herb
Rumex;herb
Rutaceae;tree
Sabal;tree
Sabiaceae;tree
Salicaceae;shrub
Salix;shrub
Sambucus;shrub
Samydaceae;shrub
Santalaceae;shrub
Sapindaceae;tree
Sapindus;tree
Sapium;shrub
Sapotaceae;tree
Sarcobataceae;shrub
Sassafras;tree
Saururaceae;herb
Saxifragaceae;herb
Schefflera;tree
Schima;tree
Schinus;shrub
Schisandraceae;shrub
Sciadopitys;tree
Scrophulariaceae;herb
Sequoia;tree
Sequoiadendron;tree
Serenoa;shrub
Sideroxylon;tree
Simaroubaceae;tree
Simmondsiaceae;shrub
Siparuna;shrub
Skimmia;shrub
Sloanea;tree
Smilacaceae;herb
Solanaceae;herb
Sonneratia;tree
Sophora;tree
Sorbus;tree
Spondias;tree
Staphylea;shrub
Sterculia;tree
Strychnos;shrub
Styloceras;shrub
Styracaceae;shrub
Styrax;tree
Swartzia;tree
Swietenia;tree
Symplocaceae;tree
Symplocos;tree
Syngonium;shrub
Syringa;shrub
Syzygium;tree
Tabebuia;shrub
Tabernaemontana;shrub
Talinaceae;shrub
Tamaricaceae;shrub
Tamarix;shrub
Tapirira;tree
Taxaceae;tree
Taxodium;tree
Taxus;tree
Tecoma;shrub
Terminalia;tree
Tetracentron;tree
Thalictrum;herb
Theaceae;tree
Theobroma;tree
Thuja;tree
Thymelaeaceae;tree
Tilia;tree
Tofieldiaceae;herb
Tovomita;tree
Toxicodendron;shrub
Trachycarpus;tree
Trema;herb
Trichanthera;shrub
Trichilia;tree
Triplaris;tree
Trochodendron;tree
Tsuga;tree
Turpinia;shrub
Ulmaceae;tree
Ulmus;tree
Umbellularia;shrub
Urera;shrub
Urticaceae;herb
Valerianaceae;herb
Verbenaceae;herb
Viburnum;shrub
Violaceae;herb
Virola;tree
Viscaceae;shrub
Vismia;shrub
Vitaceae;shrub
Vitex;shrub
Warszewiczia;herb
Weinmannia;shrub
Wendlandia;shrub
Xylosma;shrub
Xyridaceae;herb
Zamiaceae;shrub
Zanthoxylum;shrub
Zelkova;tree
Ziziphus;shrub
Zygophyllaceae;tree
Acoraceae;herb
Adina;shrub
Aegiceras;tree
Akebia;shrub
Alangiaceae;tree
Ampelopsis;shrub
Baccaurea;tree
Bauhinia;shrub
Camptotheca;tree
Carallia;tree
Casuarinaceae;tree
Cephalotaxus;shrub
Chionanthus;shrub
Chloranthaceae;shrub
Choerospondias;tree
Cinnamomum;tree
Cleidiocarpon;tree
Cleyera;shrub
Cocculus;shrub
Davidia;tree
Desmos;shrub
Deutzia;shrub
Dichapetalaceae;shrub
Diplospora;shrub
Disanthus;shrub
Ehretia;shrub
Eleutherococcus;shrub
Endospermum;tree
Entada;shrub
Ephedra;shrub
Eriobotrya;tree
Erythroxylum;shrub
Flueggea;shrub
Fothergilla;shrub
Gironniera;tree
Gymnocladus;tree
Gymnosporia;tree
Hemiptelea;tree
Lepisanthes;tree
Loropetalum;shrub
Lumnitzera;tree
Melodinus;shrub
Mespilus;tree
Miliusa;tree
Molluginaceae;herbs
Nandina;shrubs
Olax;shrub
Pentacoelium;shrub
Pentaphylax;shrub
Pericampylus;shrub
Pometia;tree
Rhamnoneuron;tree
Rhodoleia;tree
Rourea;shrub
Schoepfia;tree
Sinomenium;shrub
Stauntonia;shrub
Tapiscia;shrub
Ternstroemia;shrub
Tetramelaceae;tree
Tiliaceae;tree
Toona;tree
Tripterygium;shrub
Trochodendraceae;tree
Wikstroemia;shrub
Xanthoceras;tree
Argania;tree
Cannaceae;herb
Cytinaceae;herb
Hagenia;tree
Liliales;herb
Maerua;shrub
Picconia;tree
Salvadoraceae;shrub
Chrysophyllum;tree
Hampea;tree
Hura;tree
Pachira;tree
Pithecellobium;tree
Roupala;tree
Senna;shrub
Thrinax;tree
Urticales;shrub
Ximenia;shrub
Lamiales;herb
Abatia;tree
Achatocarpus;shrub
Acnistus;shrub
Adelobotrys;shrub
Adenanthera;tree
Aextoxicon;tree
Alchorneopsis;tree
Aldina;tree
Alibertia;tree
Aloysia;shrub
Alstroemeriaceae;herb
Amaioua;shrub
Ampelocera;tree
Anadenanthera;tree
Andira;tree
Anemopaegma;tree
Aniba;tree
Anthodiscus;tree
Aparisthmium;tree
Apeiba;shrub
Araucaria;tree
Aristotelia;shrub
Arrabidaea;shrub
Aspidosperma;tree
Asteliaceae;herb
Asterales;herb
Astrocaryum;tree
Attalea;tree
Austrocedrus;tree
Azara;tree
Bactris;tree
Balanophoraceae;herb
Balfourodendron;tree
Bertiera;shrub
Billia;tree
Bixaceae;shrub
Bocoa;tree
Bombacaceae;tree
Bombacopsis;tree
Bonnetiaceae;tree
Boscia;shrub
Bougainvillea;shrub
Bowdichia;tree
Brownea;shrub
Brunellia;tree
Bunchosia;shrub
Burmanniaceae;herb
Burseraceae;tree
Cabralea;tree
Calliandra;shrub
Calophyllaceae;tree
Calophyllum;tree
Calyceraceae;herb
Calycolpus;tree
Calycophyllum;tree
Campnosperma;tree
Campomanesia;tree
Campsiandra;tree
Carapa;tree
Cariniana;tree
Caryocaraceae;tree
Cassipourea;tree
Castela;shrub
Castilla;tree
Catostemma;tree
Cavanillesia;tree
Cedrela;tree
Ceiba;tree
Centrolobium;tree
Ceroxylon;tree
Chamaedorea;shrub
Cheiloclinium;shrub
Chelyocarpus;shrub
Chrysobalanus;shrub
Cleidion;shrub
Clusia;tree
Cochlospermaceae;tree
Cochlospermum;tree
Codia;tree
Columelliaceae;tree
Connaraceae;tree
Copaifera;tree
Copernicia;tree
Costaceae;herb
Couepia;tree
Couratari;tree
Coussarea;shrub
Coutarea;shrub
Crescentia;tree
Crudia;tree
Cryosophila;tree
Cunoniaceae;shrub
Cybianthus;shrub
Cybistax;tree
Cyclanthaceae;shrub
Cynometra;shrub
Dacryodes;tree
Daphnopsis;shrub
Dasyphyllum;herb
Dialium;tree
Dictyocaryum;tree
Dinizia;tree
Discaria;shrub
Drimys;tree
Duroia;shrub
Elaeagia;tree
Elaeoluma;tree
Embothrium;tree
Emmotum;shrub
Encelia;shrub
Endopleura;tree
Eriotheca;tree
Erisma;tree
Erythrochiton;shrub
Erythroxylaceae;shrub
Escallonia;shrub
Escalloniaceae;tree
Eschweilera;tree
Esenbeckia;tree
Eucryphia;shrub
Euterpe;tree
Fabales;herb
Ferdinandusa;shrub
Fitzroya;tree
Francoaceae;herb
Froesiodendron;tree
Fuchsia;shrub
Fusaea;shrub
Gaiadendron;shrub
Geissanthus;shrub
Geoffroea;tree
Geonoma;shrub
Gevuina;tree
Godoya;tree
Gomortega;tree
Goupia;tree
Griselinia;shrub
Guatteria;shrub
Hancornia;shrub
Havardia;tree
Helicostylis;tree
Helicteres;shrub
Herrania;tree
Hesperomeles;tree
Heteropterys;shrub
Himatanthus;shrub
Hippomane;tree
Hirtella;tree
Humiriaceae;shrub
Hydrogaster;tree
Hymenolobium;tree
Indigofera;herb
Iriartella;tree
Iryanthera;tree
Isertia;shrub
Ixora;shrub
Jacaranda;tree
Kageneckia;shrub
Kielmeyera;tree
Krameriaceae;shrub
Lacistema;shrub
Lacmellea;tree
Laetia;tree
Lafoensia;tree
Lamanonia;tree
Laurelia;tree
Lecythidaceae;tree
Lepidocaryum;tree
Lepidothamnus;shrub
Lithraea;tree
Lomatia;shrub
Lonchocarpus;shrub
Longetia;herb
Loranthaceae;herb
Luehea;tree
Mabea;tree
Macherium;tree
Macrolobium;tree
Magonia;tree
Malanea;shrub
Malpighia;shrub
Manicaria;tree
Manihot;shrub
Maprounea;shrub
Maquira;tree
Marcgraviaceae;shrub
Margaritaria;tree
Mauritia;tree
Mauritiella;tree
Melochia;shrub
Metrosideros;tree
Metteniusaceae;tree
Micropholis;tree
Microteaceae;herb
Misodendraceae;herb
Mouriri;tree
Muntingia;tree
Myracrodruon;tree
Myrceugenia;tree
Myrcia;tree
Myristicaceae;tree
Myrocarpus;tree
Myroxylon;tree
Nectandra;tree
Ochnaceae;shrub
Ochroma;tree
Ocotea;tree
Oenocarpus;tree
Ormosia;tree
Ouratea;shrub
Panopsis;tree
Parahancornia;tree
Parkia;tree
Pentaclethra;tree
Peraceae;tree
Philesiaceae;shrub
Phytelephas;tree
Picrodendraceae;tree
Pilgerodendron;tree
Piliostigma;tree
Piptadenia;shrub
Pisonia;shrub
Polylepis;tree
Poraqueiba;tree
Prockia;shrub
Prumnopitys;tree
Pseudobombax;tree
Pseudolmedia;tree
Pseudopanax;tree
Psidium;shrub
Pterandra;tree
Pterogyne;tree
Qualea;tree
Quararibea;tree
Rapateaceae;herb
Raukaua;shrub
Restionaceae;grass
Richeria;tree
Rinorea;tree
Ruagea;shrub
Sacoglottis;tree
Saurauia;shrub
Saxegothaea;tree
Scalesia;shrub
Scheelea;tree
Schinopsis;tree
Schizolobium;tree
Schnella;shrub
Schoepfiaceae;shrub
Sclerolobium;tree
Scutia;shrub
Senefeldera;tree
Simarouba;tree
Socratea;tree
Sorocea;shrub
Spirotheca;tree
Stemonuraceae;tree
Stereospermum;tree
Stylidiaceae;herb
Stylogyne;shrub
Syagrus;tree
Symmeria;tree
Symphonia;tree
Tachigali;tree
Talisia;tree
Thevetia;shrub
Tropaeolaceae;herb
Unonopsis;tree
Vachellia;tree
Vallea;tree
Vivianiaceae;herb
Vochysiaceae;tree
Vouacapoua;tree
Wettinia;tree
Winteraceae;tree
Xylopia;tree
Zeyheria;tree
Zollernia;tree
Acmena;shrub
Acronychia;shrub
Agastachys;shrub
Agathis;tree
Aidia;tree
Alectryon;tree
Allocasuarina;tree
Alphitonia;tree
Amoora;tree
Angophora;tree
Anodopetalum;shrub
Anopterus;shrub
Aphananthe;tree
Araucariaceae;tree
Archidendron;tree
Archontophoenix;tree
Argophyllum;shrub
Argyrodendron;tree
Arytera;tree
Ascarina;tree
Astrotricha;shrub
Atalaya;tree
Atherosperma;tree
Athrotaxis;tree
Austrobuxus;tree
Baeckea;shrub
Balanops;tree
Banksia;shrub
Barringtonia;shrub
Bedfordia;shrub
Beilschmiedia;tree
Beyeria;shrub
Bischofia;tree
Bossiaea;shrub
Brachychiton;tree
Breynia;shrub
Bridelia;tree
Bruguiera;tree
Buchanania;tree
Bursaria;shrub
Callitris;tree
Calocedrus;tree
Calytrix;shrub
Camptostemon;tree
Cardwellia;tree
Carpodetus;tree
Cenarrhenes;shrub
Centrolepidaceae;herb
Cerberiopsis;tree
Charpentiera;tree
Choretrum;shrub
Choriceras;shrub
Cocos;tree
Codonocarpus;shrub
Commersonia;shrub
Corymbia;tree
Corynocarpus;tree
Cryptandra;shrub
Cupaniopsis;tree
Cyclophyllum;shrub
Dacrycarpus;tree
Daphnandra;shrub
Daphniphyllum;tree
Darlingia;tree
Didymotheca;shrub
Dillenia;tree
Doryphora;tree
Dracophyllum;shrub
Dysoxylum;tree
Elaeodendron;tree
Elattostachys;tree
Emmenosperma;tree
Epacridaceae;shrub
Eremophila;shrub
Eriostemon;shrub
Euodia;shrub
Exocarpos;shrub
Flindersia;tree
Ganophyllum;tree
Geniostoma;shrub
Goodeniaceae;herb
Grevillea;shrub
Guioa;tree
Gymnostoma;tree
Gyrostemon;shrub
Gyrostemonaceae;shrub
Hakea;shrub
Halfordia;shrub
Halocarpus;shrub
Hernandiaceae;shrub
Hibbertia;shrub
Hodgkinsonia;tree
Hoheria;shrub
Homalium;tree
Hypserpa;shrub
Irvingbaileya;tree
Ixerba;tree
Kleinhovia;tree
Knightia;tree
Kunzea;shrub
Lagarostrobos;tree
Lambertia;shrub
Lasiopetalum;shrub
Leucopogon;shrub
Libocedrus;tree
Litsea;shrub
Lophomyrtus;shrub
Manoao;tree
Melicytus;tree
Meryta;shrub
Metroxylon;tree
Mida;tree
Mimusops;tree
Musgravea;tree
Myoporaceae;shrub
Myristica;tree
Nauclea;shrub
Neonauclea;shrub
Neopanax;shrub
Notelaea;shrub
Octomeles;tree
Opiliaceae;tree
Oraniopsis;tree
Palaquium;tree
Papuacedrus;tree
Parinari;tree
Pemphis;shrub
Pennantia;shrub
Persoonia;shrub
Petalostigma;shrub
Pherosphaera;shrub
Phyllocladus;tree
Pipturus;shrub
Pittosporum;shrub
Planchonia;tree
Pleiogynium;tree
Plerandra;shrub
Pomaderris;shrub
Pseudowintera;shrub
Psydrax;tree
Quintinia;shrub
Rhopalostylis;tree
Ripogonaceae;shrub
Rosales;shrub
Soulamea;shrub
Sphenostemon;tree
Stenocarpus;tree
Streblus;shrub
Synoum;shrub
Tetracarpaeaceae;shrub
Thespesia;shrub
Timonius;tree
Vavaea;shrub
Wrightia;shrub
Xanthomyrtus;shrub
Xanthostemon;tree
Xeronemataceae;herb
Xylocarpus;tree
Zieria;shrub
Acanthophoenix;tree
Achariaceae;tree
Acridocarpus;shrub
Adansonia;tree
Adenium;shrub
Adenocarpus;shrub
Afraegle;tree
Afzelia;tree
Alstonia;tree
Amanoa;tree
Androstachys;tree
Anogeissus;shrub
Anopyxis;tree
Anthocleista;tree
Anthostema;tree
Antiaris;tree
Antrocaryon;tree
Aphania;tree
Aphloia;shrub
Argomuellera;shrub
Azadirachta;tree
Baikiaea;tree
Balanites;tree
Baphia;shrub
Barbeya;tree
Basellaceae;herb
Bergia;herb
Berlinia;tree
Bersama;tree
Bismarckia;tree
Blighia;tree
Borassus;tree
Boswellia;tree
Brachylaena;shrub
Brachystegia;tree
Brachystephanus;herb
Brucea;shrub
Bruniaceae;shrub
Burkea;tree
Cadaba;shrub
Calostephane;herb
Campylospermum;shrub
Canarium;tree
Carissa;shrub
Cassine;shrub
Catha;tree
Catunaregam;tree
Cercestis;shrub
Chaetachme;shrub
Chytranthus;tree
Cleistanthus;tree
Cliffortia;shrub
Coffea;shrub
Cola;tree
Colophospermum;shrub
Coula;tree
Crateva;tree
Cryptosepalum;tree
Cussonia;tree
Cylicodiscus;tree
Cylicomorpha;tree
Daniellia;tree
Dasylepis;shrub
Deinbollia;shrub
Delonix;tree
Detarium;tree
Dichrostachys;shrub
Dictyosperma;tree
Didiereaceae;shrub
Dobera;shrub
Dombeya;tree
Dracaena;tree
Dypsis;tree
Ekebergia;tree
Elaeis;tree
Elaeophorbia;herb
Englerophytum;shrub
Entandrophragma;tree
Eriocoelum;tree
Erythrococca;tree
Erythrophleum;tree
Euclea;tree
Fadogia;shrub
Fagaropsis;tree
Faidherbia;tree
Faurea;tree
Ficalhoa;tree
Fleroya;tree
Foetidia;tree
Funtumia;tree
Gaertnera;shrub
Gilbertiodendron;tree
Glenniea;tree
Guibourtia;tree
Guiera;shrub
Gyrocarpus;tree
Haematostaphis;tree
Harrisonia;shrub
Harungana;tree
Hildegardia;tree
Holoptelea;tree
Hydroleaceae;herb
Hylodendron;tree
Hymenocardia;tree
Hymenodictyon;tree
Hymenostegia;tree
Hyophorbe;tree
Hyphaene;tree
Illigera;shrub
Irvingia;tree
Isoberlinia;tree
Julbernardia;tree
Khaya;tree
Kigelia;tree
Kiggelaria;shrub
Kirkia;tree
Labourdonnaisia;tree
Lannea;tree
Lasianthus;shrub
Lasiodiscus;tree
Latania;shrub
Leptaulus;tree
Leucosidea;tree
Limeaceae;herb
Loesenera;tree
Lophira;tree
Lovoa;tree
Maesopsis;tree
Majidea;tree
Mansonia;tree
Maranthes;tree
Markhamia;tree
Martretia;tree
Mezoneuron;shrub
Micrococca;shrub
Microdesmis;shrub
Milicia;tree
Mimulopsis;shrub
Mitragyna;tree
Montiniaceae;shrub
Musanga;tree
Myrianthus;tree
Myrothamnus;shrub
Neoboutonia;tree
Neoshirakia;tree
Neuradaceae;herb
Newtonia;tree
Noronhia;tree
Nuxia;shrub
Ochna;shrub
Ochthocosmus;tree
Oldfieldia;tree
Olinia;tree
Oncoba;shrub
Operculicarya;shrub
Ozoroa;tree
Palisota;herb
Panda;tree
Pappea;tree
Pausinystalia;tree
Peltophorum;tree
Penaeaceae;shrub
Penianthus;shrub
Pentadesma;tree
Pericopsis;tree
Phylica;shrub
Piptadeniastrum;tree
Piptostigma;tree
Platycelyphium;shrub
Poupartia;shrub
Pseudospondias;shrub
Psiloxylon;tree
Ptaeroxylon;tree
Putranjivaceae;shrub
Pycnanthus;tree
Quassia;tree
Rauvolfia;shrub
Rothmannia;tree
Salvadora;shrub
Santiria;tree
Sarcosperma;tree
Schrebera;tree
Sclerocarya;tree
Scorodophloeus;tree
Scottellia;shrub
Searsia;shrub
Shirakiopsis;tree
Sorindeia;tree
Sparrmannia;shrub
Spathodea;tree
Sphenocleaceae;herb
Spirostachys;tree
Strombosia;shrub
Synsepalum;shrub
Talipariti;shrub
Tamarindus;tree
Tarchonanthus;shrub
Tarenna;shrub
Teclea;tree
Thomandersia;shrub
Tieghemella;tree
Treculia;tree
Trichocladus;shrub
Trilepisium;tree
Triplochiton;tree
Trymatococcus;tree
Uapaca;tree
Uvaria;shrub
Vahliaceae;herb
Vangueria;shrub
Velloziaceae;herb
Vepris;shrub
Vitellaria;tree
Voacanga;shrub
Welwitschiaceae;shrub
Xylia;tree
Xymalos;tree
Zanha;shrub
