"Dataset_ID","Radius","Continent","openness"
9,68970.6379310345,"Europe",0.0476750728937542
12,68970.6379310345,"Europe",0.0433870643335345
16,68970.6379310345,"Europe",0.0388964973045976
20,120793.413793103,"Europe",0.00391335839478977
200,68970.6379310345,"Europe",0.0460239169885068
215,68970.6379310345,"Europe",0.026807426564249
225,103495.793103448,"Europe",0.00252370007614763
226,68970.6379310345,"Europe",0.0266724547263605
317,155490.068965517,"Europe",0.0347019072810564
342,68970.6379310345,"Europe",0.0363628859171207
363,68970.6379310345,"Europe",0.00791735095290838
374,68970.6379310345,"Europe",0.0312619233257577
530,68970.6379310345,"Europe",0.0294993305616236
531,68970.6379310345,"Europe",0.0509141800206243
720,120852.327586207,"Europe",0.0285716909284705
723,68970.6379310345,"Europe",0.0567609306564723
784,68970.6379310345,"Europe",0.0152569567276558
858,68970.6379310345,"Europe",0.0164443844869212
867,68970.6379310345,"Europe",0.0414838568013556
977,103512.379310345,"Europe",0.00888603258380627
1155,68970.6379310345,"Europe",0.00671155074732696
1434,68970.6379310345,"Europe",0.00354722646792279
1435,68970.6379310345,"Europe",0.0388336257406733
1438,155580.465517241,"Europe",0.00664470698979085
1440,68970.6379310345,"Europe",0.0312902956074762
1522,155544.560344828,"Europe",0.0019746018359337
1577,138156.896551724,"Europe",0.00909308335326407
2335,68970.6379310345,"Europe",0.00586785477296426
3859,68970.6379310345,"Europe",0
3865,68970.6379310345,"Europe",0.00349872442338731
3866,120804.405172414,"Europe",0.00216499814315853
3868,68970.6379310345,"Europe",0.00522306961808445
3869,68970.6379310345,"Europe",0.0371627035912652
3870,68970.6379310345,"Europe",0.0141843640824475
3872,68970.6379310345,"Europe",0.016355181972637
3874,138214.655172414,"Europe",0.0891159753030757
3875,317519.310344828,"Europe",0.0693442277905803
3876,68970.6379310345,"Europe",0.0455139626082143
3878,68970.6379310345,"Europe",0.0448559862267926
3879,68970.6379310345,"Europe",0.00382031033527293
3882,103517.75862069,"Europe",0.00695293824336017
3883,120794.732758621,"Europe",0.0129777753090534
3884,120794.732758621,"Europe",0.0129777753090534
3887,68970.6379310345,"Europe",0.0834518965961943
3889,225892.543103448,"Europe",0.0170451970902652
3890,103510.586206897,"Europe",0.005077317777635
3892,120830.344827586,"Europe",0.0510190963537227
3893,68970.6379310345,"Europe",0.0191569276309359
3894,68970.6379310345,"Europe",0.111332733538169
3896,261421.99137931,"Europe",0.00406275653818725
3900,68970.6379310345,"Europe",0.0422273136333401
3902,120858.482758621,"Europe",0.0128130588694187
3910,68970.6379310345,"Europe",0.0194716635685128
3913,138203.448275862,"Europe",0.00809152223355031
3923,280204.724137931,"Europe",0.00745341405049637
3926,103517.310344828,"Europe",0.0241839250022785
3927,68970.6379310345,"Europe",0.014252178048509
3928,68970.6379310345,"Europe",0.000722728299329971
3930,68970.6379310345,"Europe",0.0431728019189962
3931,120858.482758621,"Europe",0.0211334513937735
3932,138124.568965517,"Europe",0.00765825389118565
3934,68970.6379310345,"Europe",0.0129398823210914
3935,68970.6379310345,"Europe",0.0233130841905657
3937,120858.482758621,"Europe",0.0128919074086253
3938,120838.698275862,"Europe",0.0260503229268528
3940,103502.068965517,"Europe",0.0247961720187983
3941,68970.6379310345,"Europe",0.0522814108434115
3946,103497.586206897,"Europe",0.109539364357031
3951,68970.6379310345,"Europe",0.025677724595149
3953,68970.6379310345,"Europe",0.0480020673837904
3966,68970.6379310345,"Europe",0.0215708628345134
3969,190353.284482759,"Europe",0.0024695966355262
3971,68970.6379310345,"Europe",0.0220705389535101
3972,68970.6379310345,"Europe",0.0412312047622563
3973,68970.6379310345,"Europe",0.0496565331774335
3977,120788.137931034,"Europe",0.0132903609707767
3986,68970.6379310345,"Europe",0.00110083358719433
3988,173132.551724138,"Europe",0.00346838267439169
3990,68970.6379310345,"Europe",0.0510027654588231
3991,68970.6379310345,"Europe",0.00741645932873887
3994,68970.6379310345,"Europe",0.0236063031118461
3995,68970.6379310345,"Europe",0.00550147123270519
3996,68970.6379310345,"Europe",0.00550147123270519
3999,68970.6379310345,"Europe",0.00400325356225868
4002,120825.068965517,"Europe",0.00411841072620453
4004,68970.6379310345,"Europe",0.0218884537192059
4005,68970.6379310345,"Europe",0.0165631952833841
4011,68970.6379310345,"Europe",0.00717589707135806
4012,103504.310344828,"Europe",0.00306313268780021
4017,68970.6379310345,"Europe",0.00327875699607385
4021,86244.8189655172,"Europe",0.00277313789724931
4024,68970.6379310345,"Europe",0.0355791561203455
4025,68970.6379310345,"Europe",0.0624106476385673
4028,68970.6379310345,"Europe",0.0334682311104526
4031,190581.801724138,"Europe",0.00440385390232351
4032,68970.6379310345,"Europe",0.0160207079893662
4040,68970.6379310345,"Europe",0.00523150363635289
4041,68970.6379310345,"Europe",0.0904437357335967
4042,138128.448275862,"Europe",0.00642096047668461
4045,68970.6379310345,"Europe",0.0435596425018794
4047,68970.6379310345,"Europe",0.0221777611990912
4050,68970.6379310345,"Europe",0.0370144106203586
4053,68970.6379310345,"Europe",0.0175234090533375
4055,68970.6379310345,"Europe",0.0175234090533375
4056,68970.6379310345,"Europe",0.0186984519125057
4057,68970.6379310345,"Europe",0.0469275527801854
4058,68970.6379310345,"Europe",0.0346993679151648
4059,120861.560344828,"Europe",0.0239701790737424
4060,68970.6379310345,"Europe",0.00518915955196992
4062,120840.017241379,"Europe",0.00402137285200976
4063,68970.6379310345,"Europe",0.02825724789
4069,120858.482758621,"Europe",0.00406115433860796
4071,68970.6379310345,"Europe",0.030834358562032
4078,68970.6379310345,"Europe",0.00342621654646956
4082,86235.224137931,"Europe",0.0351118635262701
4083,68970.6379310345,"Europe",0.0153928391126597
4084,120776.267241379,"Europe",0.00636173166613152
4085,138191.810344828,"Europe",0.00402830130768553
4086,280243.103448276,"Europe",0.013816109737733
4087,68970.6379310345,"Europe",0.0159266900236418
4092,103530.75862069,"Europe",0.00783660674927756
4095,68970.6379310345,"Europe",0.0361800031196381
4103,120858.482758621,"Europe",0.126274938964993
